id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,name
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5,4,0,0,50,0,employee_33587
21387,Operations,region_13,Bachelor's,m,other,1,35,4,6,1,0,57,1,employee_21387
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4,6,1,0,62,0,employee_55927
60763,Procurement,region_2,Bachelor's,f,other,1,23,3,2,0,0,73,0,employee_60763
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3,4,0,0,50,0,employee_53167
32672,Analytics,region_22,Master's & above,m,other,1,42,2,19,0,0,79,0,employee_32672
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4,2,0,0,49,0,employee_48785
51444,HR,region_13,Bachelor's,f,other,1,30,,1,1,0,54,0,employee_51444
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4,6,1,0,63,0,employee_75778
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3,2,1,0,90,1,employee_14141
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5,5,0,0,49,0,employee_17894
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4,2,0,0,46,0,employee_54380
51892,Technology,region_2,Bachelor's,m,other,1,27,5,2,0,0,86,1,employee_51892
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3,2,0,0,72,0,employee_3625
38771,Procurement,region_23,Bachelor's,f,other,1,27,4,4,1,0,72,1,employee_38771
18959,Technology,region_15,Bachelor's,m,other,4,36,4,7,0,0,82,0,employee_18959
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4,6,0,0,77,0,employee_21137
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5,7,1,0,51,1,employee_26097
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5,3,0,1,92,1,employee_38052
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,1,0,58,0,employee_41746
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3,5,1,0,71,0,employee_72744
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,1,0,83,0,employee_5461
15227,Procurement,region_27,Master's & above,f,other,1,40,5,5,0,0,68,0,employee_15227
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,0,50,0,employee_66874
42068,Operations,region_1,Master's & above,m,other,1,38,5,9,1,0,61,0,employee_42068
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3,2,0,0,47,0,employee_54825
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5,3,0,0,46,0,employee_77709
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5,4,1,0,67,0,employee_43712
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,0,0,58,0,employee_74783
19318,Analytics,region_22,Bachelor's,m,other,1,32,3,8,0,0,89,1,employee_19318
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5,8,0,0,50,0,employee_12096
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,1,0,56,0,employee_5102
29521,Technology,region_15,Bachelor's,m,other,1,27,3,4,1,0,78,0,employee_29521
36371,Finance,region_28,Master's & above,m,other,2,34,3,7,0,0,56,0,employee_36371
51164,Technology,region_14,Bachelor's,f,other,1,31,4,4,1,1,78,0,employee_51164
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4,2,0,0,77,0,employee_17812
7606,Technology,region_29,Bachelor's,f,other,2,30,3,7,1,1,76,0,employee_7606
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,1,0,56,0,employee_50593
73735,Analytics,region_25,Bachelor's,m,other,1,30,5,3,1,0,84,0,employee_73735
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3,2,0,0,57,0,employee_29313
40262,Technology,region_2,Bachelor's,m,other,2,28,3,5,0,0,81,0,employee_40262
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3,2,0,0,51,0,employee_36904
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3,11,1,0,51,0,employee_62552
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5,4,1,0,80,0,employee_63285
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1,4,0,0,72,0,employee_74203
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4,6,0,0,50,0,employee_75344
74018,HR,region_7,Master's & above,f,other,1,37,3,9,0,0,48,0,employee_74018
34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,0,0,88,1,employee_34985
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5,3,1,0,70,1,employee_35930
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4,4,1,0,57,0,employee_6708
5515,Operations,region_13,Master's & above,m,other,1,43,3,7,1,0,56,1,employee_5515
53373,Operations,region_13,Bachelor's,m,other,1,36,1,5,0,0,56,0,employee_53373
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3,3,0,0,63,0,employee_69316
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3,2,0,0,56,0,employee_41009
50622,Analytics,region_25,Master's & above,m,other,1,34,5,2,0,0,84,0,employee_50622
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4,4,1,0,45,0,employee_30106
45157,HR,region_4,Bachelor's,m,other,1,27,,1,1,0,50,0,employee_45157
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3,5,0,0,75,0,employee_23523
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1,4,0,0,48,0,employee_74349
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5,7,1,0,70,0,employee_70543
42245,Procurement,region_22,Bachelor's,f,other,1,33,3,3,1,0,73,0,employee_42245
34405,Procurement,region_2,Master's & above,f,other,1,33,5,4,1,0,67,0,employee_34405
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1,8,0,0,45,0,employee_4134
23599,Technology,region_23,Master's & above,m,other,1,34,4,7,0,0,82,0,employee_23599
942,Technology,region_22,Bachelor's,m,other,2,32,4,6,0,0,84,0,employee_942
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4,6,0,0,53,0,employee_5281
197,Finance,region_12,Bachelor's,m,other,1,29,5,6,1,0,61,0,employee_197
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1,2,0,0,50,0,employee_37574
26773,Technology,region_7,Bachelor's,f,other,1,28,2,5,0,0,75,0,employee_26773
70034,Procurement,region_2,Master's & above,f,other,2,35,3,9,0,0,70,0,employee_70034
40565,Technology,region_2,Bachelor's,f,other,2,40,3,3,0,0,86,0,employee_40565
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2,4,0,0,54,0,employee_17193
76550,Procurement,region_22,Bachelor's,f,other,3,26,3,3,1,0,70,0,employee_76550
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2,12,0,0,57,0,employee_53841
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,0,61,0,employee_28314
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5,6,1,0,84,0,employee_30196
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3,15,0,0,51,0,employee_29757
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4,4,0,0,49,0,employee_6073
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4,4,1,0,70,0,employee_9863
34306,Procurement,region_13,Bachelor's,f,other,1,31,5,5,1,0,72,0,employee_34306
34041,Operations,region_7,Bachelor's,m,other,1,40,4,11,0,0,58,0,employee_34041
21356,Operations,region_15,Bachelor's,f,other,2,39,5,12,1,0,55,0,employee_21356
29540,Operations,region_2,Bachelor's,f,other,2,30,3,6,0,0,57,0,employee_29540
51669,Technology,region_2,Master's & above,m,other,1,47,4,4,1,0,77,0,employee_51669
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4,7,1,0,48,1,employee_33825
6254,Operations,region_2,,f,other,1,33,4,9,0,0,64,0,employee_6254
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5,7,0,0,51,0,employee_11645
3231,Technology,region_7,Bachelor's,m,other,1,29,1,4,0,0,80,0,employee_3231
7030,Analytics,region_31,Bachelor's,f,other,1,32,3,4,0,0,86,0,employee_7030
54198,Procurement,region_7,Master's & above,f,other,1,47,5,9,0,0,68,0,employee_54198
62293,Operations,region_27,Bachelor's,m,other,1,35,4,3,0,0,65,0,employee_62293
25312,Technology,region_22,Bachelor's,m,other,1,27,4,2,0,0,75,0,employee_25312
75610,Analytics,region_32,Bachelor's,m,other,1,29,1,3,0,0,81,0,employee_75610
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3,9,0,0,49,0,employee_16518
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1,8,0,0,39,0,employee_42747
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3,2,0,0,70,0,employee_67980
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4,5,1,1,94,1,employee_53630
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3,2,1,0,60,0,employee_72423
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5,2,1,0,51,0,employee_73022
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5,4,0,0,56,0,employee_63976
60761,Operations,region_16,,f,other,1,31,4,2,0,0,62,0,employee_60761
57228,HR,region_2,Master's & above,m,sourcing,1,44,5,6,0,0,48,0,employee_57228
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3,4,1,0,49,0,employee_14912
22725,Technology,region_26,Bachelor's,m,other,1,40,1,3,0,0,78,0,employee_22725
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5,6,0,1,58,0,employee_18981
50845,Procurement,region_19,Master's & above,m,other,1,44,3,12,0,0,70,0,employee_50845
11800,Procurement,region_2,Below Secondary,f,other,1,23,1,2,0,0,69,0,employee_11800
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1,2,0,0,53,0,employee_16351
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1,4,0,0,80,0,employee_75881
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5,4,1,0,58,0,employee_73200
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,0,85,0,employee_17833
58338,Analytics,region_1,Bachelor's,m,other,2,30,5,6,1,0,81,0,employee_58338
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1,8,0,0,67,0,employee_40187
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4,8,0,0,86,0,employee_70193
27188,Analytics,region_13,Master's & above,m,other,1,30,3,4,1,0,80,0,employee_27188
24291,Analytics,region_26,Bachelor's,m,other,2,27,5,3,1,0,85,0,employee_24291
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,0,68,0,employee_43676
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3,3,0,0,58,0,employee_52231
34241,Analytics,region_22,Bachelor's,m,other,2,28,3,5,1,0,86,0,employee_34241
76661,Procurement,region_17,Bachelor's,m,other,1,31,5,3,1,0,68,0,employee_76661
50595,Operations,region_2,Bachelor's,f,other,1,43,4,12,0,0,58,0,employee_50595
67673,Operations,region_4,Bachelor's,f,other,1,35,5,9,1,0,60,0,employee_67673
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3,9,0,0,49,0,employee_10547
73405,Operations,region_2,Master's & above,m,other,1,50,3,8,1,0,59,0,employee_73405
73114,HR,region_17,Bachelor's,f,other,1,26,4,3,0,0,50,0,employee_73114
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3,5,1,0,52,0,employee_22572
62923,Operations,region_13,Master's & above,f,other,1,38,5,2,1,1,93,1,employee_62923
57235,Sales & Marketing,region_26,,m,other,1,22,4,2,0,0,51,0,employee_57235
22300,HR,region_20,Bachelor's,m,other,1,28,,1,1,0,52,0,employee_22300
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3,9,0,0,69,0,employee_24090
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3,9,1,0,86,0,employee_57298
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3,8,0,0,51,0,employee_25629
71339,Technology,region_6,Bachelor's,m,other,1,35,3,8,0,0,78,0,employee_71339
54714,Analytics,region_29,Bachelor's,m,other,1,39,3,4,1,0,85,0,employee_54714
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5,4,1,0,63,0,employee_7390
9563,Operations,region_31,Bachelor's,m,other,2,38,3,7,1,1,60,0,employee_9563
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1,2,0,0,48,0,employee_39107
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2,3,0,0,52,0,employee_19445
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,0,54,0,employee_42636
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3,4,0,0,84,0,employee_32557
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2,4,1,0,57,1,employee_43396
24414,R&D,region_2,,m,other,1,25,,1,1,0,76,0,employee_24414
63237,Technology,region_22,Bachelor's,m,referred,1,26,4,2,0,0,82,0,employee_63237
32838,Technology,region_7,Bachelor's,m,other,1,31,4,4,0,0,78,0,employee_32838
23003,Technology,region_14,Bachelor's,f,other,1,38,5,7,1,0,82,0,employee_23003
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4,9,0,0,49,0,employee_45198
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5,4,0,1,50,0,employee_40376
60176,Procurement,region_15,Master's & above,f,other,1,34,5,8,1,0,67,0,employee_60176
67652,Procurement,region_23,Master's & above,f,other,1,33,3,5,1,0,72,0,employee_67652
15476,Technology,region_2,Bachelor's,f,other,1,29,5,3,1,0,78,0,employee_15476
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4,2,1,0,61,0,employee_55811
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,0,56,0,employee_15737
10058,Analytics,region_22,Bachelor's,m,other,2,26,4,2,1,0,87,0,employee_10058
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5,4,0,0,64,0,employee_73435
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3,7,0,0,46,0,employee_51255
70060,Technology,region_13,Master's & above,m,other,1,43,3,14,0,0,79,0,employee_70060
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1,8,0,0,39,0,employee_51473
71904,Technology,region_7,Master's & above,f,other,2,38,3,10,0,0,88,0,employee_71904
76080,Operations,region_7,Bachelor's,f,other,1,34,1,5,0,0,54,0,employee_76080
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4,4,0,0,63,0,employee_33357
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1,4,0,0,61,0,employee_53502
26409,Operations,region_2,Bachelor's,m,other,1,33,4,3,0,0,61,0,employee_26409
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4,5,1,0,48,0,employee_59608
28687,Operations,region_2,Master's & above,m,other,3,38,3,11,0,0,57,0,employee_28687
34312,Procurement,region_2,Master's & above,f,other,2,54,4,23,0,0,66,0,employee_34312
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2,8,0,0,49,0,employee_11438
11794,R&D,region_2,Bachelor's,m,other,2,26,5,3,1,0,87,0,employee_11794
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5,3,0,0,59,0,employee_48756
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,0,62,0,employee_35873
13970,Operations,region_33,Master's & above,m,other,1,36,3,4,0,0,60,0,employee_13970
49868,Technology,region_5,Bachelor's,m,other,1,45,3,15,0,0,87,0,employee_49868
25261,Procurement,region_7,Master's & above,m,other,1,38,4,7,0,0,66,0,employee_25261
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2,4,0,0,47,0,employee_44536
55550,Analytics,region_27,,m,sourcing,1,31,3,4,0,0,85,0,employee_55550
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3,7,0,0,87,0,employee_27989
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4,4,0,0,78,0,employee_12598
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3,12,0,0,50,0,employee_32877
30682,Technology,region_2,Bachelor's,m,referred,2,29,4,6,0,0,75,0,employee_30682
1829,Analytics,region_28,Bachelor's,m,other,2,31,5,7,1,0,87,0,employee_1829
2177,Finance,region_16,Bachelor's,m,other,1,32,5,6,1,0,58,0,employee_2177
51771,Operations,region_17,Bachelor's,m,other,1,42,5,11,0,0,67,0,employee_51771
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5,3,1,0,65,0,employee_26026
64977,Procurement,region_16,Bachelor's,f,other,1,24,3,2,1,0,70,0,employee_64977
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3,7,0,0,56,0,employee_44585
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1,3,0,0,80,0,employee_43562
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3,2,0,0,47,0,employee_56287
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5,14,0,0,48,0,employee_19100
58203,Operations,region_16,Bachelor's,m,other,2,39,3,9,0,0,58,0,employee_58203
12504,Technology,region_7,Bachelor's,f,other,1,46,4,17,0,0,85,0,employee_12504
49126,Technology,region_15,Bachelor's,m,other,1,29,2,5,0,0,77,0,employee_49126
66469,Finance,region_7,Bachelor's,m,other,1,26,1,3,0,0,59,0,employee_66469
53350,Operations,region_23,Bachelor's,m,other,1,35,4,5,0,0,61,0,employee_53350
22031,Procurement,region_2,Bachelor's,f,other,1,29,4,2,1,0,95,1,employee_22031
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2,9,0,0,79,0,employee_36185
